filename,submission_id,actual_verdict,predicted_verdict,predicted_line_number
2.json,s095898253,Compile Error,Accepted,0
4.json,s298178270,Accepted,Accepted,0
4.json,s292858230,Accepted,Accepted,0
6.json,s468014834,Accepted,Accepted,0
26.json,s123942897,Compile Error,Compile Error,30
21.json,s260056906,Memory Limit Exceeded,Accepted,0
23.json,s398176647,Accepted,Runtime Error,12
23.json,s184330307,Memory Limit Exceeded,Accepted,0
25.json,s404626599,Accepted,Accepted,0
23.json,s537435063,Accepted,Accepted,0
16.json,s689502184,Compile Error,Compile Error,8
15.json,s358651561,Runtime Error,Memory Limit Exceeded,22
24.json,s521454178,Runtime Error,Accepted,0
7.json,s848944916,Runtime Error,Runtime Error,18
4.json,s219225673,Runtime Error,Accepted,0
2.json,s288313730,Memory Limit Exceeded,ERROR,-1
9.json,s203479105,Compile Error,Accepted,0
10.json,s287645428,Accepted,Runtime Error,30
12.json,s259752849,Memory Limit Exceeded,Runtime Error,19
20.json,s760072563,Memory Limit Exceeded,Accepted,0
22.json,s590534772,Time Limit Exceeded,,0
24.json,s335220054,Runtime Error,Runtime Error,38
17.json,s504940020,Memory Limit Exceeded,Accepted,0
19.json,s988836345,Memory Limit Exceeded,Accepted,0
24.json,s102394128,Time Limit Exceeded,Accepted,0
12.json,s225336052,Runtime Error,ERROR,-1
11.json,s192393912,Compile Error,,0
5.json,s884370330,Compile Error,,0
25.json,s076436049,Accepted,Accepted,0
21.json,s393262537,Memory Limit Exceeded,Memory Limit Exceeded,0
14.json,s613276952,Compile Error,Accepted,0
3.json,s869336585,Time Limit Exceeded,Accepted,0
12.json,s363197110,Compile Error,,0
4.json,s340097846,Time Limit Exceeded,Time Limit Exceeded,0
14.json,s044348465,Compile Error,,0
21.json,s173243686,Accepted,Accepted,0
12.json,s118466683,Compile Error,Accepted,0
6.json,s648311219,Accepted,Accepted,0
24.json,s960918097,Runtime Error,Accepted,0
26.json,s376839194,Compile Error,Accepted,0
7.json,s820125147,Compile Error,,0
19.json,s385930750,Runtime Error,Time Limit Exceeded,0
0.json,s551551910,Memory Limit Exceeded,ERROR,-1
21.json,s514287681,Memory Limit Exceeded,Time Limit Exceeded,0
7.json,s903142473,Compile Error,,0
2.json,s328413599,Time Limit Exceeded,Accepted,0
16.json,s622583827,Runtime Error,Runtime Error,14
23.json,s581510829,Memory Limit Exceeded,Accepted,0
15.json,s137549674,Time Limit Exceeded,ERROR,-1
12.json,s491674916,Memory Limit Exceeded,ERROR,-1
11.json,s064277881,Compile Error,ERROR,-1
7.json,s190029517,Compile Error,ERROR,-1
21.json,s649574690,Memory Limit Exceeded,ERROR,-1
26.json,s951760235,Time Limit Exceeded,ERROR,-1
0.json,s816863764,Accepted,ERROR,-1
7.json,s945234480,Time Limit Exceeded,ERROR,-1
4.json,s582698565,Compile Error,ERROR,-1
9.json,s758248440,Memory Limit Exceeded,ERROR,-1
17.json,s800852517,Compile Error,ERROR,-1
4.json,s020456768,Accepted,ERROR,-1
24.json,s751982351,Runtime Error,ERROR,-1
4.json,s379388061,Time Limit Exceeded,ERROR,-1
16.json,s991118478,Time Limit Exceeded,ERROR,-1
17.json,s936492471,Compile Error,ERROR,-1
16.json,s094620783,Compile Error,ERROR,-1
9.json,s576264884,Compile Error,ERROR,-1
