filename,submission_id,actual_verdict,predicted_verdict,predicted_line_number
22.json,s008800326,Accepted,Accepted,0
24.json,s862433930,Compile Error,Accepted,0
1.json,s509417545,Compile Error,Accepted,0
14.json,s482437031,Accepted,Accepted,0
18.json,s071680108,Compile Error,Compile Error,4
0.json,s394170627,Accepted,Accepted,0
12.json,s671897681,Accepted,Accepted,0
5.json,s874694209,Compile Error,Accepted,0
14.json,s197578783,Compile Error,Accepted,0
22.json,s374531923,Accepted,Accepted,0
4.json,s995322909,Accepted,Accepted,0
6.json,s304232102,Accepted,Accepted,0
27.json,s625889200,Compile Error,Accepted,0
15.json,s253943776,Compile Error,Accepted,0
9.json,s778352406,Accepted,Accepted,0
24.json,s672791114,Accepted,Accepted,0
18.json,s470454163,Accepted,Accepted,0
24.json,s475043925,Compile Error,Compile Error,2
21.json,s416102280,Compile Error,Compile Error,11
9.json,s938622136,Accepted,Accepted,0
24.json,s908834155,Accepted,Accepted,0
17.json,s845858502,Compile Error,Compile Error,3
15.json,s105860212,Accepted,Accepted,0
14.json,s023592089,Compile Error,Accepted,0
15.json,s754641628,Accepted,Accepted,0
0.json,s340996148,Accepted,Accepted,0
0.json,s467697889,Compile Error,Compile Error,122
15.json,s888479083,Compile Error,Accepted,0
2.json,s645515764,Accepted,Accepted,0
4.json,s419173870,Compile Error,Accepted,0
25.json,s048760361,Compile Error,Compile Error,15
4.json,s891006260,Accepted,Accepted,0
24.json,s303748153,Accepted,Accepted,0
27.json,s492731717,Compile Error,Compile Error,7
24.json,s030670161,Accepted,Accepted,0
16.json,s933276476,Accepted,Accepted,0
17.json,s064981217,Accepted,Accepted,0
3.json,s403546018,Accepted,Accepted,0
1.json,s592466514,Compile Error,Compile Error,12
19.json,s391632563,Accepted,Accepted,0
9.json,s128358149,Accepted,Accepted,0
17.json,s486204831,Accepted,Accepted,0
6.json,s024270991,Compile Error,Compile Error,12
11.json,s455034757,Compile Error,Accepted,0
5.json,s745559794,Compile Error,Compile Error,34
11.json,s824702397,Compile Error,Compile Error,2
9.json,s512984599,Accepted,Accepted,0
20.json,s574559135,Compile Error,Compile Error,12
17.json,s870713219,Compile Error,Accepted,0
11.json,s244610583,Accepted,Accepted,0
