case_no,code_token
1,"import java.util.Scanner;

/**
 *
 * @author mustafa
 */
public class Main {

    /**
     * @param args the command line arguments
     */
    public static void main(String[] args) {
        
        Scanner sc = new Scanner(System.in);
        
        String s = sc.nextLine();
        
        long sayac = 1;
        
        for (int i = 0; i < s.length() - 1; ++i)
        {
            for (int j = i + 1; j < s.length(); ++j)
            {
                if (s.charAt(i) == s.charAt(j))
                    continue;
                else
                    sayac++;
            }
        }
        
        System.out.println(sayac);
    }
    
}
"
2,"import java.util.*;
import java.io.*;
import static java.lang.Math.*;

public class Main {
    public static void main(String[] args) throws Exception {
		Scanner sc = new Scanner(System.in);
		
		// 入力
		String s = sc.next();
		
		// 計算
		String result = ""YES"";
		boolean flg = true;
		while(flg){
		    if(s.length()-5 >= 0){
		        String t = s.substring(s.length()-5, s.length());
		        if(t.equals(""dream"") || t.equals(""erase"")){
		            s = s.substring(0, s.length()-5);
		            continue;
		        }
		    }
		    if(s.length()-6 >= 0){
		        String t = s.substring(s.length()-6, s.length());
		        if(t.equals(""eraser"")){
		            s = s.substring(0, s.length()-6);
		            continue;
		        }
		    }
		    if(s.length()-7 >= 0){
		        String t = s.substring(s.length()-7, s.length());
		        if(t.equals(""dreamer"")){
		            s = s.substring(0, s.length()-7);
		            continue;
		        }
		    }
		    flg = false;
		    if(!s.equals("""")) result = ""NO"";
		}
		
		// 出力
		System.out.println(result);
	}

	public static class Scanner {
		private BufferedReader br; private StringTokenizer tok;
		public Scanner(InputStream is) throws IOException { br = new BufferedReader(new InputStreamReader(is));}
		private void getLine() throws IOException { while(!hasNext()) tok = new StringTokenizer(br.readLine());}
		private boolean hasNext() { return tok != null && tok.hasMoreTokens();}
		public String next() throws IOException { getLine(); return tok.nextToken();}
		public int nextInt() throws IOException { return Integer.parseInt(next());}
		public long nextLong() throws IOException { return Long.parseLong(next());}
		public double nextDouble() throws IOException { return Double.parseDouble(next());}
	}
}
"
3,"import java.util.Scanner;

public class Main{
    public static void main(String[] args){
        Scanner in = new Scanner(System.in);

        String input = ""hooray!"";
        HeapQ prior = new HeapQ();

        while(!(input.equals(""end""))){
            input = in.next();

            if(input.startsWith(""i"")){
                input = in.next();
                prior.givePriority(Integer.parseInt(input));
                prior.heapifyTD();
            }

            else if(input.equals(""extract"")){
                System.out.printf(""%d\n"",prior.extract());
                prior.heapifyBU();
            }

        }
        in.close();

    }
}

class HeapQ {

    private int[] queue;
    private int size;


    HeapQ() {
        this.queue = new int[2000001];
        this.size = 0;
    }

    public void givePriority(int toIns){
        this.queue[size + 1] = toIns;
        this.size++;
    }

    public void heapifyBU() {
        for (int  i = this.size/2; i >= 1; i--) {
            int k = i;
            int v = this.queue[k];
            boolean heap = false;

            while (!heap && ( (2 * k) <= this.size) ) {
                int j = 2 * k;

                if(j < this.size){
                    if(queue[j] < queue[j + 1]){
                        j = j + 1;
                    }
                }
                if(v >= queue[j]){
                    heap = true;
                }
                else{
                    queue[k] = queue[j];
                    k = j;
                }
            }
            queue[k] = v;

        }


    }

    void heapifyTD() {
        for(int i = this.size; i > 1; i /=2){
            int father = queue[i/2];

            if(queue[i] > father ){
                int aux = father;
                queue[i/2] = queue[i];
                queue[i] = aux;
            }
            else{
                break;
            }
        }
    }

    public int extract(){
        int something = this.queue[1];
        queue[1] = queue[this.size];
        this.size--;
        heapifyBU();

        return something;
    }
}
"
4,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.ArrayList;
import java.util.Arrays;
import java.util.StringTokenizer;

public class Main {

	static class FastReader
	{
		BufferedReader br;
		StringTokenizer st;

		public FastReader()
		{
			br = new BufferedReader(new
					InputStreamReader(System.in));
		}

		String next()
		{
			while (st == null || !st.hasMoreElements())
			{
				try
				{
					st = new StringTokenizer(br.readLine());
				}
				catch (IOException  e)
				{
					e.printStackTrace();
				}
			}
			return st.nextToken();
		}

		int nextInt()
		{
			return Integer.parseInt(next());
		}

		long nextLong()
		{
			return Long.parseLong(next());
		}

		double nextDouble()
		{
			return Double.parseDouble(next());
		}

		String nextLine()
		{
			String str = """";
			try
			{
				str = br.readLine();
			}
			catch (IOException e)
			{
				e.printStackTrace();
			}
			return str;
		}
	}
	public static String str1, str2; 
	public static String[][] memo; 
	public static void main(String[] args) {
		// TODO Auto-generated method stub
		FastReader sc = new FastReader();
		str1 = sc.next(); str2 = sc.next(); 
		memo = new String[str1.length()+10][str2.length()+10];
		a = new ArrayList<String>(); 
		System.out.println(rc(str1.length(), str2.length()).length()==0 ? "" "" : rc(str1.length(), str2.length())); 
	}
	public static ArrayList<String> a; 
	public static String rc(int index1, int index2) {
//		System.out.println(index1 +"" ""+index2);
		if (memo[index1][index2]!=null) {
			return memo[index1][index2]; 
		}
		else if (index1==0 || index2==0) {
			return memo[index1][index2]= """"; 
		}
		
		else if (str1.charAt(index1-1)==str2.charAt(index2-1)) {
			return memo[index1][index2] = rc(index1-1, index2-1) + str1.charAt(index1-1); 
		}

		return memo[index1][index2] = rc(index1-1, index2).length()> rc(index1, index2-1).length() ? 
				rc(index1-1, index2) : rc(index1, index2-1)	;

	}

}
"
5,"import java.util.*;
import java.io.IOException;
import java.io.InputStream;

class FastScanner {
    private final InputStream in = System.in;
    private final byte[] buffer = new byte[1024];
    private int ptr = 0;
    private int buflen = 0;

    private boolean hasNextByte() {
        if (ptr < buflen) {
            return true;
        }else{
            ptr = 0;
            try {
                buflen = in.read(buffer);
            } catch (IOException e) {
                e.printStackTrace();
            }
            if (buflen <= 0) {
                return false;
            }
        }
        return true;
    }

    private int readByte() { if (hasNextByte()) return buffer[ptr++]; else return -1;}
    private static boolean isPrintableChar(int c) { return 33 <= c && c <= 126;}
    public boolean hasNext() { while(hasNextByte() && !isPrintableChar(buffer[ptr])) ptr++; return hasNextByte();}

    public String next() {
        if (!hasNext()) throw new NoSuchElementException();
        StringBuilder sb = new StringBuilder();
        int b = readByte();
        while(isPrintableChar(b)) {
            sb.appendCodePoint(b);
            b = readByte();
        }
        return sb.toString();
    }

    public long nextLong() {
        if (!hasNext()) throw new NoSuchElementException();
        long n = 0;
        boolean minus = false;
        int b = readByte();
        if (b == '-') {
            minus = true;
            b = readByte();
        }
        if (b < '0' || '9' < b) {
            throw new NumberFormatException();
        }
        while(true){
            if ('0' <= b && b <= '9') {
                n *= 10;
                n += b - '0';
            }else if(b == -1 || !isPrintableChar(b)){
                return minus ? -n : n;
            }else{
                throw new NumberFormatException();
            }
            b = readByte();
        }
    }

    public int nextInt() {
        long nl = nextLong();
        if (nl < Integer.MIN_VALUE || nl > Integer.MAX_VALUE) throw new NumberFormatException();
        return (int) nl;
    }

    public double nextDouble() { return Double.parseDouble(next());}
}

public class Main {

    static class Edge {
        int from, to;

        public Edge(int from, int to) {
            this.from = from;
            this.to = to;
        }
    }

    static class Pair {
        int h, w;

        public Pair(int h, int w) {
            this.h = h;
            this.w = w;
        }
    }

    static void bfs() {
        visited = new boolean[H][W];
        visited[0][0] = true;
        prev = new Pair[H][W];
        prev[0][0] = new Pair(-1, -1);

        Deque<Pair> que = new ArrayDeque<>();
        que.offer(new Pair(0, 0));

        while (!que.isEmpty()) {
            Pair pair = que.poll();
            int ch = pair.h;
            int cw = pair.w;
            visited[ch][cw] = true;
            if (ch == H-1 && cw == W-1) break;
            for (int dir = 0; dir < 4; ++dir) {
                int nh = ch + dy[dir];
                int nw = cw + dx[dir];

                if (nh < 0 || nh >= H || nw < 0 || nw >= W) continue;
                if (grid[nh][nw] == '#') continue;
                if (visited[nh][nw]) continue;

                prev[nh][nw] = pair;
                que.offer(new Pair(nh, nw));
            }
        }
    }

    static int H;
    static int W;
    static int res = 1;
    static List<List<Edge>> graph;
    static boolean[][] visited;
    static char[][] grid;
    static Pair[][] prev;
    static int[] dx = {-1, 1, 0, 0};
    static int[] dy = {0, 0, -1, 1};

    public static void main(String[] args) {
        FastScanner fs = new FastScanner();
        H = fs.nextInt();
        W = fs.nextInt();
        grid = new char[H][W];
        for (int i = 0; i < H; ++i) grid[i] = fs.next().toCharArray();
        int black = 0;
        for (int i = 0; i < H; ++i) {
            for (int j = 0; j < W; ++j) {
                if (grid[i][j] == '#') ++black;
            }
        }

        bfs();

        if (visited[H-1][W-1]) {
            int h = H - 1;
            int w = W - 1;
            while (true) {
                Pair pair = prev[h][w];
                if (pair.h == -1 && pair.w == -1) break;
                else ++res;
                h = pair.h;
                w = pair.w;
            }
//            System.out.println(res);
            System.out.println((H * W - black - res));
        }
        else
            System.out.println(-1);
    }
}"
6,"import java.util.*;

public class Main {
    public static void main(String[] args) throws Exception {
        // Your code here!
        Scanner sc = new Scanner(System.in);
        String str = sc.next();
        int n = str.length();
        int k = sc.nextInt() - 1;
        
        Set<String> set = new HashSet<String>();
        for (int i = 1; i <= n; i++) {
            for (int j = 0; j <= n - i; j++) {
                set.add(str.substring(j, j + i));
            }
        }
        
        List<String> list = new ArrayList<String>(set);
        list.sort(Comparator.naturalOrder());
        System.out.println(list.get(k));
    }
}
"
7,"import java.util.Scanner;

public class Main {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		
        int i;
        double avr=0, ans=0;
        int[] num;
        
		while(true){

        int n = sc.nextInt();
        num=new int[n];
        
		if(n==0){
			System.exit(0);
		}

    	for(i=0;i<num.length;i++){
        num[i] = sc.nextInt();
        avr+=num[i];
    	}
    	avr = avr/num.length;
        for(i=0;i<num.length;i++){
            ans=ans+(num[i]-avr)*(num[i]-avr);
        }
        System.out.printf(Math.sqrt(ans/num.length));
		}
	}
}"
8,"import java.util.*;
public class Main.java {

	public static void main(String[] args) {
		Scanner sc=new Scanner(System.in);
		int a=sc.nextInt();
		System.out.println(a+(a*a)+(a*a*a));
	}

}
"
9,"import java.util.Scanner;
public class Main{
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		// 入力

        System.out.print(s);
		// 判定
		if(s.equals(""ARC"")){
			System.out.print(""ABC"");
  		}else{
			System.out.print(""ARC"");
		}
	}
}
"
10,"
import java.io.*;
import java.util.ArrayList;
import java.util.Arrays;


public class Main  {

    private static long[] sumA;
    private static long[] sumB;


    private static int max = 0;

    public static void main(String[] args) throws IOException {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        BufferedWriter bw = new BufferedWriter(new OutputStreamWriter(System.out));

        String[] temp = br.readLine().split("" "");
        int a = Integer.parseInt(temp[0]);
        int b = Integer.parseInt(temp[1]);
        int time = Integer.parseInt(temp[2]);

        sumA = new long[a+1];
        sumB = new long[b+1];



        temp = br.readLine().split("" "");
        for(int i=1;i<=a;i++){
            sumA[i] = sumA[i-1] + Long.parseLong(temp[i-1]);

        }

        temp = br.readLine().split("" "");
        for(int i=1; i<=b;i++){
            sumB[i] = sumB[i-1] + Long.parseLong(temp[i-1]);
        }


        for(int i=0;i<=a;i++){

            int j = 0;
            if(sumA[i] > time)break;

            while(sumA[i] + sumB[j] <= time){
                j++;
                if(j > b)break;
            }
            j--;
            max = Math.max(max, i+j);

        }
        System.out.println(max);

    }


}

"
